iso,point,average_price,name
ITA,80,8.80,Italy
PRT,80,5.33,Portugal
USA,80,20.48,US
ESP,80,13.81,Spain
FRA,80,15.87,France
DEU,80,0.00,Germany
ARG,80,13.94,Argentina
CHL,80,13.67,Chile
AUS,80,12.00,Australia
AUT,80,0.00,Austria
ZAF,80,0.00,South Africa
NZL,80,16.00,New Zealand
ISR,80,19.00,Israel
HUN,80,0.00,Hungary
GRC,80,0.00,Greece
ROU,80,0.00,Romania
MEX,80,14.00,Mexico
CAN,80,0.00,Canada
TUR,80,0.00,Turkey
CZE,80,0.00,Czech Republic
SVN,80,0.00,Slovenia
LUX,80,0.00,Luxembourg
HRV,80,0.00,Croatia
GEO,80,0.00,Georgia
URY,80,13.00,Uruguay
GBR,80,0.00,England
LBN,80,0.00,Lebanon
SRB,80,0.00,Serbia
BRA,80,20.00,Brazil
MDA,80,0.00,Moldova
MAR,80,0.00,Morocco
PER,80,15.00,Peru
IND,80,0.00,India
BGR,80,9.00,Bulgaria
CYP,80,0.00,Cyprus
ARM,80,0.00,Armenia
CHE,80,0.00,Switzerland
BIH,80,0.00,Bosnia and Herzegovina
UKR,80,0.00,Ukraine
SVK,80,0.00,Slovakia
MKD,80,0.00,Macedonia
CHN,80,0.00,China
EGY,80,0.00,Egypt
XKX,80,0.00,Kosovo
ITA,81,16.19,Italy
PRT,81,11.18,Portugal
USA,81,19.65,US
ESP,81,16.66,Spain
FRA,81,11.00,France
DEU,81,76.00,Germany
ARG,81,13.21,Argentina
CHL,81,13.59,Chile
AUS,81,14.13,Australia
AUT,81,0.00,Austria
ZAF,81,0.00,South Africa
NZL,81,15.25,New Zealand
ISR,81,24.00,Israel
HUN,81,20.00,Hungary
GRC,81,0.00,Greece
ROU,81,0.00,Romania
MEX,81,11.00,Mexico
CAN,81,0.00,Canada
TUR,81,0.00,Turkey
CZE,81,0.00,Czech Republic
SVN,81,0.00,Slovenia
LUX,81,0.00,Luxembourg
HRV,81,18.00,Croatia
GEO,81,0.00,Georgia
URY,81,16.00,Uruguay
GBR,81,0.00,England
LBN,81,0.00,Lebanon
SRB,81,0.00,Serbia
BRA,81,25.50,Brazil
MDA,81,0.00,Moldova
MAR,81,0.00,Morocco
PER,81,12.00,Peru
IND,81,0.00,India
BGR,81,0.00,Bulgaria
CYP,81,0.00,Cyprus
ARM,81,0.00,Armenia
CHE,81,0.00,Switzerland
BIH,81,0.00,Bosnia and Herzegovina
UKR,81,0.00,Ukraine
SVK,81,0.00,Slovakia
MKD,81,0.00,Macedonia
CHN,81,0.00,China
EGY,81,0.00,Egypt
XKX,81,0.00,Kosovo
ITA,82,14.44,Italy
PRT,82,8.93,Portugal
USA,82,21.97,US
ESP,82,15.11,Spain
FRA,82,12.25,France
DEU,82,14.00,Germany
ARG,82,14.06,Argentina
CHL,82,12.73,Chile
AUS,82,19.37,Australia
AUT,82,8.83,Austria
ZAF,82,13.80,South Africa
NZL,82,15.54,New Zealand
ISR,82,18.00,Israel
HUN,82,0.00,Hungary
GRC,82,17.25,Greece
ROU,82,9.00,Romania
MEX,82,19.00,Mexico
CAN,82,19.00,Canada
TUR,82,0.00,Turkey
CZE,82,0.00,Czech Republic
SVN,82,15.00,Slovenia
LUX,82,0.00,Luxembourg
HRV,82,27.00,Croatia
GEO,82,30.00,Georgia
URY,82,14.67,Uruguay
GBR,82,0.00,England
LBN,82,14.50,Lebanon
SRB,82,0.00,Serbia
BRA,82,16.00,Brazil
MDA,82,10.00,Moldova
MAR,82,0.00,Morocco
PER,82,12.00,Peru
IND,82,0.00,India
BGR,82,9.00,Bulgaria
CYP,82,0.00,Cyprus
ARM,82,0.00,Armenia
CHE,82,0.00,Switzerland
BIH,82,0.00,Bosnia and Herzegovina
UKR,82,10.00,Ukraine
SVK,82,0.00,Slovakia
MKD,82,0.00,Macedonia
CHN,82,0.00,China
EGY,82,0.00,Egypt
XKX,82,0.00,Kosovo
ITA,83,13.99,Italy
PRT,83,8.72,Portugal
USA,83,22.04,US
ESP,83,15.67,Spain
FRA,83,14.36,France
DEU,83,13.00,Germany
ARG,83,14.65,Argentina
CHL,83,13.24,Chile
AUS,83,13.48,Australia
AUT,83,15.22,Austria
ZAF,83,10.21,South Africa
NZL,83,17.94,New Zealand
ISR,83,19.50,Israel
HUN,83,21.50,Hungary
GRC,83,20.00,Greece
ROU,83,10.00,Romania
MEX,83,20.56,Mexico
CAN,83,16.00,Canada
TUR,83,0.00,Turkey
CZE,83,0.00,Czech Republic
SVN,83,20.00,Slovenia
LUX,83,0.00,Luxembourg
HRV,83,13.33,Croatia
GEO,83,16.33,Georgia
URY,83,16.40,Uruguay
GBR,83,0.00,England
LBN,83,28.00,Lebanon
SRB,83,0.00,Serbia
BRA,83,26.40,Brazil
MDA,83,11.25,Moldova
MAR,83,0.00,Morocco
PER,83,10.00,Peru
IND,83,0.00,India
BGR,83,9.33,Bulgaria
CYP,83,0.00,Cyprus
ARM,83,0.00,Armenia
CHE,83,38.00,Switzerland
BIH,83,0.00,Bosnia and Herzegovina
UKR,83,11.00,Ukraine
SVK,83,0.00,Slovakia
MKD,83,0.00,Macedonia
CHN,83,0.00,China
EGY,83,0.00,Egypt
XKX,83,0.00,Kosovo
ITA,84,14.24,Italy
PRT,84,10.38,Portugal
USA,84,23.64,US
ESP,84,15.72,Spain
FRA,84,14.79,France
DEU,84,20.12,Germany
ARG,84,14.38,Argentina
CHL,84,13.54,Chile
AUS,84,16.80,Australia
AUT,84,12.44,Austria
ZAF,84,12.74,South Africa
NZL,84,17.18,New Zealand
ISR,84,20.31,Israel
HUN,84,75.00,Hungary
GRC,84,17.46,Greece
ROU,84,11.22,Romania
MEX,84,26.75,Mexico
CAN,84,45.75,Canada
TUR,84,18.20,Turkey
CZE,84,16.00,Czech Republic
SVN,84,20.00,Slovenia
LUX,84,0.00,Luxembourg
HRV,84,13.50,Croatia
GEO,84,22.56,Georgia
URY,84,24.82,Uruguay
GBR,84,0.00,England
LBN,84,19.00,Lebanon
SRB,84,0.00,Serbia
BRA,84,11.00,Brazil
MDA,84,11.00,Moldova
MAR,84,0.00,Morocco
PER,84,16.25,Peru
IND,84,0.00,India
BGR,84,10.50,Bulgaria
CYP,84,0.00,Cyprus
ARM,84,0.00,Armenia
CHE,84,0.00,Switzerland
BIH,84,0.00,Bosnia and Herzegovina
UKR,84,8.00,Ukraine
SVK,84,0.00,Slovakia
MKD,84,15.50,Macedonia
CHN,84,0.00,China
EGY,84,0.00,Egypt
XKX,84,0.00,Kosovo
ITA,85,16.72,Italy
PRT,85,10.81,Portugal
USA,85,24.47,US
ESP,85,16.22,Spain
FRA,85,14.96,France
DEU,85,20.26,Germany
ARG,85,14.62,Argentina
CHL,85,13.30,Chile
AUS,85,15.54,Australia
AUT,85,12.71,Austria
ZAF,85,14.38,South Africa
NZL,85,17.81,New Zealand
ISR,85,22.69,Israel
HUN,85,23.29,Hungary
GRC,85,20.62,Greece
ROU,85,23.62,Romania
MEX,85,29.00,Mexico
CAN,85,28.75,Canada
TUR,85,19.00,Turkey
CZE,85,20.33,Czech Republic
SVN,85,13.50,Slovenia
LUX,85,0.00,Luxembourg
HRV,85,29.67,Croatia
GEO,85,12.00,Georgia
URY,85,19.82,Uruguay
GBR,85,0.00,England
LBN,85,45.00,Lebanon
SRB,85,0.00,Serbia
BRA,85,18.11,Brazil
MDA,85,8.33,Moldova
MAR,85,14.00,Morocco
PER,85,28.50,Peru
IND,85,0.00,India
BGR,85,9.25,Bulgaria
CYP,85,16.33,Cyprus
ARM,85,0.00,Armenia
CHE,85,0.00,Switzerland
BIH,85,13.00,Bosnia and Herzegovina
UKR,85,9.00,Ukraine
SVK,85,0.00,Slovakia
MKD,85,15.00,Macedonia
CHN,85,34.00,China
EGY,85,0.00,Egypt
XKX,85,3.50,Kosovo
ITA,86,19.35,Italy
PRT,86,11.85,Portugal
USA,86,26.86,US
ESP,86,17.00,Spain
FRA,86,16.53,France
DEU,86,17.76,Germany
ARG,86,16.26,Argentina
CHL,86,14.36,Chile
AUS,86,18.59,Australia
AUT,86,13.87,Austria
ZAF,86,15.15,South Africa
NZL,86,18.78,New Zealand
ISR,86,22.24,Israel
HUN,86,24.75,Hungary
GRC,86,20.05,Greece
ROU,86,9.36,Romania
MEX,86,22.80,Mexico
CAN,86,26.17,Canada
TUR,86,29.27,Turkey
CZE,86,0.00,Czech Republic
SVN,86,15.14,Slovenia
LUX,86,0.00,Luxembourg
HRV,86,23.25,Croatia
GEO,86,12.00,Georgia
URY,86,20.57,Uruguay
GBR,86,0.00,England
LBN,86,20.00,Lebanon
SRB,86,18.50,Serbia
BRA,86,27.78,Brazil
MDA,86,10.89,Moldova
MAR,86,30.00,Morocco
PER,86,18.50,Peru
IND,86,0.00,India
BGR,86,11.11,Bulgaria
CYP,86,0.00,Cyprus
ARM,86,0.00,Armenia
CHE,86,0.00,Switzerland
BIH,86,0.00,Bosnia and Herzegovina
UKR,86,9.00,Ukraine
SVK,86,0.00,Slovakia
MKD,86,16.00,Macedonia
CHN,86,0.00,China
EGY,86,0.00,Egypt
XKX,86,6.50,Kosovo
ITA,87,22.59,Italy
PRT,87,14.60,Portugal
USA,87,28.38,US
ESP,87,19.52,Spain
FRA,87,19.82,France
DEU,87,21.11,Germany
ARG,87,18.86,Argentina
CHL,87,16.77,Chile
AUS,87,21.17,Australia
AUT,87,16.05,Austria
ZAF,87,17.88,South Africa
NZL,87,19.08,New Zealand
ISR,87,23.52,Israel
HUN,87,22.25,Hungary
GRC,87,22.56,Greece
ROU,87,9.50,Romania
MEX,87,26.18,Mexico
CAN,87,24.68,Canada
TUR,87,21.00,Turkey
CZE,87,17.67,Czech Republic
SVN,87,19.14,Slovenia
LUX,87,0.00,Luxembourg
HRV,87,20.50,Croatia
GEO,87,15.06,Georgia
URY,87,23.35,Uruguay
GBR,87,0.00,England
LBN,87,29.00,Lebanon
SRB,87,21.00,Serbia
BRA,87,22.00,Brazil
MDA,87,13.79,Moldova
MAR,87,16.00,Morocco
PER,87,0.00,Peru
IND,87,12.00,India
BGR,87,12.32,Bulgaria
CYP,87,14.67,Cyprus
ARM,87,14.00,Armenia
CHE,87,0.00,Switzerland
BIH,87,0.00,Bosnia and Herzegovina
UKR,87,0.00,Ukraine
SVK,87,16.00,Slovakia
MKD,87,15.00,Macedonia
CHN,87,0.00,China
EGY,87,0.00,Egypt
XKX,87,10.50,Kosovo
ITA,88,28.21,Italy
PRT,88,16.27,Portugal
USA,88,31.21,US
ESP,88,23.62,Spain
FRA,88,23.67,France
DEU,88,21.59,Germany
ARG,88,21.03,Argentina
CHL,88,21.41,Chile
AUS,88,24.24,Australia
AUT,88,16.93,Austria
ZAF,88,19.78,South Africa
NZL,88,21.78,New Zealand
ISR,88,27.76,Israel
HUN,88,22.94,Hungary
GRC,88,23.49,Greece
ROU,88,19.53,Romania
MEX,88,27.11,Mexico
CAN,88,25.49,Canada
TUR,88,20.50,Turkey
CZE,88,18.80,Czech Republic
SVN,88,17.25,Slovenia
LUX,88,27.67,Luxembourg
HRV,88,23.05,Croatia
GEO,88,18.75,Georgia
URY,88,28.80,Uruguay
GBR,88,0.00,England
LBN,88,25.43,Lebanon
SRB,88,18.00,Serbia
BRA,88,20.67,Brazil
MDA,88,17.63,Moldova
MAR,88,17.50,Morocco
PER,88,0.00,Peru
IND,88,0.00,India
BGR,88,13.94,Bulgaria
CYP,88,14.00,Cyprus
ARM,88,15.00,Armenia
CHE,88,28.50,Switzerland
BIH,88,12.00,Bosnia and Herzegovina
UKR,88,9.00,Ukraine
SVK,88,0.00,Slovakia
MKD,88,15.00,Macedonia
CHN,88,110.00,China
EGY,88,0.00,Egypt
XKX,88,0.00,Kosovo
ITA,89,34.67,Italy
PRT,89,19.08,Portugal
USA,89,33.08,US
ESP,89,28.21,Spain
FRA,89,25.99,France
DEU,89,25.40,Germany
ARG,89,28.19,Argentina
CHL,89,25.30,Chile
AUS,89,31.74,Australia
AUT,89,20.53,Austria
ZAF,89,22.85,South Africa
NZL,89,24.27,New Zealand
ISR,89,27.80,Israel
HUN,89,28.44,Hungary
GRC,89,22.81,Greece
ROU,89,19.43,Romania
MEX,89,31.00,Mexico
CAN,89,42.40,Canada
TUR,89,25.29,Turkey
CZE,89,42.50,Czech Republic
SVN,89,25.61,Slovenia
LUX,89,23.20,Luxembourg
HRV,89,39.92,Croatia
GEO,89,21.29,Georgia
URY,89,28.38,Uruguay
GBR,89,39.50,England
LBN,89,21.25,Lebanon
SRB,89,34.00,Serbia
BRA,89,40.50,Brazil
MDA,89,16.73,Moldova
MAR,89,18.00,Morocco
PER,89,0.00,Peru
IND,89,12.00,India
BGR,89,16.06,Bulgaria
CYP,89,19.33,Cyprus
ARM,89,0.00,Armenia
CHE,89,73.43,Switzerland
BIH,89,0.00,Bosnia and Herzegovina
UKR,89,0.00,Ukraine
SVK,89,0.00,Slovakia
MKD,89,17.50,Macedonia
CHN,89,18.00,China
EGY,89,0.00,Egypt
XKX,89,0.00,Kosovo
ITA,90,39.74,Italy
PRT,90,23.03,Portugal
USA,90,38.39,US
ESP,90,34.49,Spain
FRA,90,30.29,France
DEU,90,31.29,Germany
ARG,90,34.23,Argentina
CHL,90,33.41,Chile
AUS,90,34.49,Australia
AUT,90,21.85,Austria
ZAF,90,27.60,South Africa
NZL,90,27.23,New Zealand
ISR,90,36.15,Israel
HUN,90,28.10,Hungary
GRC,90,24.69,Greece
ROU,90,58.00,Romania
MEX,90,56.00,Mexico
CAN,90,32.45,Canada
TUR,90,26.19,Turkey
CZE,90,0.00,Czech Republic
SVN,90,33.64,Slovenia
LUX,90,21.00,Luxembourg
HRV,90,33.10,Croatia
GEO,90,20.38,Georgia
URY,90,40.64,Uruguay
GBR,90,54.10,England
LBN,90,50.00,Lebanon
SRB,90,0.00,Serbia
BRA,90,0.00,Brazil
MDA,90,25.83,Moldova
MAR,90,23.25,Morocco
PER,90,0.00,Peru
IND,90,11.67,India
BGR,90,18.15,Bulgaria
CYP,90,0.00,Cyprus
ARM,90,0.00,Armenia
CHE,90,31.71,Switzerland
BIH,90,0.00,Bosnia and Herzegovina
UKR,90,0.00,Ukraine
SVK,90,0.00,Slovakia
MKD,90,0.00,Macedonia
CHN,90,139.00,China
EGY,90,0.00,Egypt
XKX,90,0.00,Kosovo
ITA,91,45.68,Italy
PRT,91,28.08,Portugal
USA,91,43.66,US
ESP,91,43.00,Spain
FRA,91,33.92,France
DEU,91,35.12,Germany
ARG,91,48.18,Argentina
CHL,91,43.33,Chile
AUS,91,43.82,Australia
AUT,91,26.14,Austria
ZAF,91,31.52,South Africa
NZL,91,36.88,New Zealand
ISR,91,39.68,Israel
HUN,91,41.07,Hungary
GRC,91,25.64,Greece
ROU,91,0.00,Romania
MEX,91,66.00,Mexico
CAN,91,47.18,Canada
TUR,91,34.75,Turkey
CZE,91,0.00,Czech Republic
SVN,91,50.00,Slovenia
LUX,91,0.00,Luxembourg
HRV,91,46.67,Croatia
GEO,91,35.33,Georgia
URY,91,37.17,Uruguay
GBR,91,45.13,England
LBN,91,39.57,Lebanon
SRB,91,0.00,Serbia
BRA,91,0.00,Brazil
MDA,91,12.50,Moldova
MAR,91,19.50,Morocco
PER,91,0.00,Peru
IND,91,12.00,India
BGR,91,33.25,Bulgaria
CYP,91,0.00,Cyprus
ARM,91,0.00,Armenia
CHE,91,0.00,Switzerland
BIH,91,0.00,Bosnia and Herzegovina
UKR,91,0.00,Ukraine
SVK,91,0.00,Slovakia
MKD,91,0.00,Macedonia
CHN,91,0.00,China
EGY,91,0.00,Egypt
XKX,91,0.00,Kosovo
ITA,92,52.93,Italy
PRT,92,34.88,Portugal
USA,92,49.67,US
ESP,92,55.30,Spain
FRA,92,41.01,France
DEU,92,43.25,Germany
ARG,92,57.84,Argentina
CHL,92,64.43,Chile
AUS,92,51.77,Australia
AUT,92,30.39,Austria
ZAF,92,29.53,South Africa
NZL,92,42.53,New Zealand
ISR,92,39.64,Israel
HUN,92,68.38,Hungary
GRC,92,21.56,Greece
ROU,92,28.00,Romania
MEX,92,54.00,Mexico
CAN,92,47.03,Canada
TUR,92,35.33,Turkey
CZE,92,0.00,Czech Republic
SVN,92,50.00,Slovenia
LUX,92,0.00,Luxembourg
HRV,92,26.00,Croatia
GEO,92,25.00,Georgia
URY,92,36.50,Uruguay
GBR,92,43.47,England
LBN,92,0.00,Lebanon
SRB,92,0.00,Serbia
BRA,92,0.00,Brazil
MDA,92,0.00,Moldova
MAR,92,0.00,Morocco
PER,92,0.00,Peru
IND,92,19.00,India
BGR,92,0.00,Bulgaria
CYP,92,0.00,Cyprus
ARM,92,38.50,Armenia
CHE,92,0.00,Switzerland
BIH,92,0.00,Bosnia and Herzegovina
UKR,92,0.00,Ukraine
SVK,92,0.00,Slovakia
MKD,92,0.00,Macedonia
CHN,92,0.00,China
EGY,92,0.00,Egypt
XKX,92,0.00,Kosovo
ITA,93,66.30,Italy
PRT,93,51.25,Portugal
USA,93,57.03,US
ESP,93,78.54,Spain
FRA,93,52.30,France
DEU,93,60.90,Germany
ARG,93,74.50,Argentina
CHL,93,86.24,Chile
AUS,93,75.12,Australia
AUT,93,35.48,Austria
ZAF,93,46.00,South Africa
NZL,93,53.03,New Zealand
ISR,93,33.47,Israel
HUN,93,26.33,Hungary
GRC,93,25.50,Greece
ROU,93,0.00,Romania
MEX,93,0.00,Mexico
CAN,93,47.88,Canada
TUR,93,0.00,Turkey
CZE,93,0.00,Czech Republic
SVN,93,0.00,Slovenia
LUX,93,0.00,Luxembourg
HRV,93,0.00,Croatia
GEO,93,0.00,Georgia
URY,93,120.00,Uruguay
GBR,93,60.08,England
LBN,93,0.00,Lebanon
SRB,93,0.00,Serbia
BRA,93,0.00,Brazil
MDA,93,0.00,Moldova
MAR,93,18.00,Morocco
PER,93,0.00,Peru
IND,93,20.00,India
BGR,93,0.00,Bulgaria
CYP,93,0.00,Cyprus
ARM,93,0.00,Armenia
CHE,93,0.00,Switzerland
BIH,93,0.00,Bosnia and Herzegovina
UKR,93,0.00,Ukraine
SVK,93,0.00,Slovakia
MKD,93,0.00,Macedonia
CHN,93,0.00,China
EGY,93,0.00,Egypt
XKX,93,0.00,Kosovo
ITA,94,80.14,Italy
PRT,94,67.99,Portugal
USA,94,70.39,US
ESP,94,106.71,Spain
FRA,94,75.32,France
DEU,94,89.31,Germany
ARG,94,81.59,Argentina
CHL,94,81.45,Chile
AUS,94,103.11,Australia
AUT,94,48.65,Austria
ZAF,94,47.95,South Africa
NZL,94,61.38,New Zealand
ISR,94,25.00,Israel
HUN,94,320.00,Hungary
GRC,94,0.00,Greece
ROU,94,0.00,Romania
MEX,94,0.00,Mexico
CAN,94,43.25,Canada
TUR,94,0.00,Turkey
CZE,94,0.00,Czech Republic
SVN,94,0.00,Slovenia
LUX,94,0.00,Luxembourg
HRV,94,0.00,Croatia
GEO,94,0.00,Georgia
URY,94,0.00,Uruguay
GBR,94,53.19,England
LBN,94,0.00,Lebanon
SRB,94,0.00,Serbia
BRA,94,0.00,Brazil
MDA,94,0.00,Moldova
MAR,94,0.00,Morocco
PER,94,0.00,Peru
IND,94,0.00,India
BGR,94,0.00,Bulgaria
CYP,94,0.00,Cyprus
ARM,94,0.00,Armenia
CHE,94,0.00,Switzerland
BIH,94,0.00,Bosnia and Herzegovina
UKR,94,0.00,Ukraine
SVK,94,0.00,Slovakia
MKD,94,0.00,Macedonia
CHN,94,0.00,China
EGY,94,0.00,Egypt
XKX,94,0.00,Kosovo
ITA,95,100.00,Italy
PRT,95,112.91,Portugal
USA,95,80.45,US
ESP,95,143.42,Spain
FRA,95,118.72,France
DEU,95,132.05,Germany
ARG,95,89.90,Argentina
CHL,95,80.00,Chile
AUS,95,173.85,Australia
AUT,95,53.45,Austria
ZAF,95,193.00,South Africa
NZL,95,89.50,New Zealand
ISR,95,0.00,Israel
HUN,95,63.50,Hungary
GRC,95,0.00,Greece
ROU,95,0.00,Romania
MEX,95,0.00,Mexico
CAN,95,0.00,Canada
TUR,95,0.00,Turkey
CZE,95,0.00,Czech Republic
SVN,95,0.00,Slovenia
LUX,95,0.00,Luxembourg
HRV,95,0.00,Croatia
GEO,95,0.00,Georgia
URY,95,0.00,Uruguay
GBR,95,73.20,England
LBN,95,0.00,Lebanon
SRB,95,0.00,Serbia
BRA,95,0.00,Brazil
MDA,95,0.00,Moldova
MAR,95,0.00,Morocco
PER,95,0.00,Peru
IND,95,0.00,India
BGR,95,0.00,Bulgaria
CYP,95,0.00,Cyprus
ARM,95,0.00,Armenia
CHE,95,0.00,Switzerland
BIH,95,0.00,Bosnia and Herzegovina
UKR,95,0.00,Ukraine
SVK,95,0.00,Slovakia
MKD,95,0.00,Macedonia
CHN,95,0.00,China
EGY,95,0.00,Egypt
XKX,95,0.00,Kosovo
ITA,96,129.70,Italy
PRT,96,173.20,Portugal
USA,96,97.46,US
ESP,96,203.44,Spain
FRA,96,179.72,France
DEU,96,212.59,Germany
ARG,96,71.00,Argentina
CHL,96,0.00,Chile
AUS,96,282.17,Australia
AUT,96,61.06,Austria
ZAF,96,330.00,South Africa
NZL,96,0.00,New Zealand
ISR,96,0.00,Israel
HUN,96,166.33,Hungary
GRC,96,0.00,Greece
ROU,96,0.00,Romania
MEX,96,0.00,Mexico
CAN,96,60.00,Canada
TUR,96,0.00,Turkey
CZE,96,0.00,Czech Republic
SVN,96,0.00,Slovenia
LUX,96,0.00,Luxembourg
HRV,96,0.00,Croatia
GEO,96,0.00,Georgia
URY,96,0.00,Uruguay
GBR,96,50.00,England
LBN,96,0.00,Lebanon
SRB,96,0.00,Serbia
BRA,96,0.00,Brazil
MDA,96,0.00,Moldova
MAR,96,0.00,Morocco
PER,96,0.00,Peru
IND,96,0.00,India
BGR,96,0.00,Bulgaria
CYP,96,0.00,Cyprus
ARM,96,0.00,Armenia
CHE,96,0.00,Switzerland
BIH,96,0.00,Bosnia and Herzegovina
UKR,96,0.00,Ukraine
SVK,96,0.00,Slovakia
MKD,96,0.00,Macedonia
CHN,96,0.00,China
EGY,96,0.00,Egypt
XKX,96,0.00,Kosovo
ITA,97,159.81,Italy
PRT,97,167.78,Portugal
USA,97,121.38,US
ESP,97,179.00,Spain
FRA,97,248.21,France
DEU,97,395.70,Germany
ARG,97,120.00,Argentina
CHL,97,0.00,Chile
AUS,97,317.50,Australia
AUT,97,55.67,Austria
ZAF,97,0.00,South Africa
NZL,97,0.00,New Zealand
ISR,97,0.00,Israel
HUN,97,80.00,Hungary
GRC,97,0.00,Greece
ROU,97,0.00,Romania
MEX,97,0.00,Mexico
CAN,97,0.00,Canada
TUR,97,0.00,Turkey
CZE,97,0.00,Czech Republic
SVN,97,0.00,Slovenia
LUX,97,0.00,Luxembourg
HRV,97,0.00,Croatia
GEO,97,0.00,Georgia
URY,97,0.00,Uruguay
GBR,97,0.00,England
LBN,97,0.00,Lebanon
SRB,97,0.00,Serbia
BRA,97,0.00,Brazil
MDA,97,0.00,Moldova
MAR,97,0.00,Morocco
PER,97,0.00,Peru
IND,97,0.00,India
BGR,97,0.00,Bulgaria
CYP,97,0.00,Cyprus
ARM,97,0.00,Armenia
CHE,97,0.00,Switzerland
BIH,97,0.00,Bosnia and Herzegovina
UKR,97,0.00,Ukraine
SVK,97,0.00,Slovakia
MKD,97,0.00,Macedonia
CHN,97,0.00,China
EGY,97,0.00,Egypt
XKX,97,0.00,Kosovo
ITA,98,158.89,Italy
PRT,98,212.83,Portugal
USA,98,163.27,US
ESP,98,450.00,Spain
FRA,98,274.80,France
DEU,98,775.00,Germany
ARG,98,0.00,Argentina
CHL,98,0.00,Chile
AUS,98,309.20,Australia
AUT,98,60.63,Austria
ZAF,98,0.00,South Africa
NZL,98,0.00,New Zealand
ISR,98,0.00,Israel
HUN,98,0.00,Hungary
GRC,98,0.00,Greece
ROU,98,0.00,Romania
MEX,98,0.00,Mexico
CAN,98,0.00,Canada
TUR,98,0.00,Turkey
CZE,98,0.00,Czech Republic
SVN,98,0.00,Slovenia
LUX,98,0.00,Luxembourg
HRV,98,0.00,Croatia
GEO,98,0.00,Georgia
URY,98,0.00,Uruguay
GBR,98,0.00,England
LBN,98,0.00,Lebanon
SRB,98,0.00,Serbia
BRA,98,0.00,Brazil
MDA,98,0.00,Moldova
MAR,98,0.00,Morocco
PER,98,0.00,Peru
IND,98,0.00,India
BGR,98,0.00,Bulgaria
CYP,98,0.00,Cyprus
ARM,98,0.00,Armenia
CHE,98,0.00,Switzerland
BIH,98,0.00,Bosnia and Herzegovina
UKR,98,0.00,Ukraine
SVK,98,0.00,Slovakia
MKD,98,0.00,Macedonia
CHN,98,0.00,China
EGY,98,0.00,Egypt
XKX,98,0.00,Kosovo
ITA,99,294.73,Italy
PRT,99,328.67,Portugal
USA,99,144.14,US
ESP,99,0.00,Spain
FRA,99,219.10,France
DEU,99,0.00,Germany
ARG,99,0.00,Argentina
CHL,99,0.00,Chile
AUS,99,575.00,Australia
AUT,99,150.00,Austria
ZAF,99,0.00,South Africa
NZL,99,0.00,New Zealand
ISR,99,0.00,Israel
HUN,99,0.00,Hungary
GRC,99,0.00,Greece
ROU,99,0.00,Romania
MEX,99,0.00,Mexico
CAN,99,0.00,Canada
TUR,99,0.00,Turkey
CZE,99,0.00,Czech Republic
SVN,99,0.00,Slovenia
LUX,99,0.00,Luxembourg
HRV,99,0.00,Croatia
GEO,99,0.00,Georgia
URY,99,0.00,Uruguay
GBR,99,0.00,England
LBN,99,0.00,Lebanon
SRB,99,0.00,Serbia
BRA,99,0.00,Brazil
MDA,99,0.00,Moldova
MAR,99,0.00,Morocco
PER,99,0.00,Peru
IND,99,0.00,India
BGR,99,0.00,Bulgaria
CYP,99,0.00,Cyprus
ARM,99,0.00,Armenia
CHE,99,0.00,Switzerland
BIH,99,0.00,Bosnia and Herzegovina
UKR,99,0.00,Ukraine
SVK,99,0.00,Slovakia
MKD,99,0.00,Macedonia
CHN,99,0.00,China
EGY,99,0.00,Egypt
XKX,99,0.00,Kosovo
ITA,100,284.14,Italy
PRT,100,443.33,Portugal
USA,100,174.00,US
ESP,100,0.00,Spain
FRA,100,948.29,France
DEU,100,0.00,Germany
ARG,100,0.00,Argentina
CHL,100,0.00,Chile
AUS,100,350.00,Australia
AUT,100,93.75,Austria
ZAF,100,0.00,South Africa
NZL,100,0.00,New Zealand
ISR,100,0.00,Israel
HUN,100,0.00,Hungary
GRC,100,0.00,Greece
ROU,100,0.00,Romania
MEX,100,0.00,Mexico
CAN,100,0.00,Canada
TUR,100,0.00,Turkey
CZE,100,0.00,Czech Republic
SVN,100,0.00,Slovenia
LUX,100,0.00,Luxembourg
HRV,100,0.00,Croatia
GEO,100,0.00,Georgia
URY,100,0.00,Uruguay
GBR,100,0.00,England
LBN,100,0.00,Lebanon
SRB,100,0.00,Serbia
BRA,100,0.00,Brazil
MDA,100,0.00,Moldova
MAR,100,0.00,Morocco
PER,100,0.00,Peru
IND,100,0.00,India
BGR,100,0.00,Bulgaria
CYP,100,0.00,Cyprus
ARM,100,0.00,Armenia
CHE,100,0.00,Switzerland
BIH,100,0.00,Bosnia and Herzegovina
UKR,100,0.00,Ukraine
SVK,100,0.00,Slovakia
MKD,100,0.00,Macedonia
CHN,100,0.00,China
EGY,100,0.00,Egypt
XKX,100,0.00,Kosovo
